{'core': 1074422016, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 13, 'nodes': 42}
{'core': 1384129088, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 18, 'nodes': 42}
{'core': 38663127564, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 24, 'nodes': 49}
{'core': 1075904545, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 1275625729, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 36, 'nodes': 36}
{'core': 1342310432, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 1345325312, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 27, 'nodes': 41}
{'core': 1376782912, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 178}
{'core': 1376847936, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 25, 'nodes': 123}
{'core': 6450872836, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 10}
{'core': 6719275540, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 137}
{'core': 17215523874, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 19, 'nodes': 121}
{'core': 38656966920, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 56, 'nodes': 215}
{'core': 38797320712, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 58}
{'core': 38860292106, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 54, 'nodes': 697}
{'core': 39212556290, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 24, 'nodes': 185}
{'core': 111937781761, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 36, 'nodes': 44}
{'core': 6585061506, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 16}
{'core': 38726074378, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 28, 'nodes': 28}
{'core': 38931538444, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 48, 'nodes': 818}
{'core': 51611438144, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 48, 'nodes': 357}
{'core': 1342333184, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 6}
{'core': 1078001697, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 1378879744, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 49, 'nodes': 266}
{'core': 6577225984, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 26, 'nodes': 101}
{'core': 6585090064, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 21, 'nodes': 64}
{'core': 17255369872, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 30, 'nodes': 169}
{'core': 38656835848, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 70}
{'core': 38724079624, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 44, 'nodes': 768}
{'core': 1141014785, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 4}
{'core': 1350574596, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 1074413601, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 30}
{'core': 1074430048, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 7, 'nodes': 23}
{'core': 1093697792, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 49}
{'core': 1140998401, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 1141049472, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 1342324769, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 11, 'nodes': 17}
{'core': 1342834752, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 68}
{'core': 1375797282, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 30}
{'core': 1377896480, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 52, 'nodes': 104}
{'core': 6444581121, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 6577717780, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 98}
{'core': 38654873608, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 14}
{'core': 38797320832, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 48, 'nodes': 128}
{'core': 38925246728, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 88}
{'core': 39193710596, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 40, 'nodes': 163}
{'core': 111945990154, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 48, 'nodes': 1184}
{'core': 1342373920, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 23, 'nodes': 59}
{'core': 1078003780, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 44}
{'core': 1141522688, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 57, 'nodes': 119}
{'core': 1375734336, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 76}
{'core': 1384122402, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 26, 'nodes': 82}
{'core': 1384136738, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 37, 'nodes': 129}
{'core': 6480199937, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 59}
